title	author	status	started	finished
Commodify Your Dissent: Salvos from The Baffler	Thomas Frank	read	Mon May 11 2020 09:26:46 GMT-0500 (Central Daylight Time)	Tue May 19 2020 07:56:51 GMT-0500 (Central Daylight Time)
Swamplandia!	TKTK	read	Mon Apr 27 2020 17:14:15 GMT-0500 (Central Daylight Time)	Sun May 10 2020 08:06:55 GMT-0500 (Central Daylight Time)
Exhalation	TKTK	read	Sun Apr 19 2020 20:18:33 GMT-0500 (Central Daylight Time)	Mon Apr 27 2020 07:20:28 GMT-0500 (Central Daylight Time)
Vineland	Thomas Pynchon	read	Wed Apr 08 2020 20:07:37 GMT-0500 (Central Daylight Time)	Sun Apr 19 2020 14:22:59 GMT-0500 (Central Daylight Time)
The Star Diaries: Further Reminiscences of Ijon Tichy	Stanisław Lem	read	Mon Mar 30 2020 07:54:29 GMT-0500 (Central Daylight Time)	Wed Apr 08 2020 06:37:08 GMT-0500 (Central Daylight Time)
Shark Drunk: The Art of Catching a Large Shark from a Tiny Rubber Dinghy in a Big Ocean	Morten A. Strøksnes	read	Sat Mar 21 2020 14:41:09 GMT-0500 (Central Daylight Time)	Sun Mar 29 2020 14:36:59 GMT-0500 (Central Daylight Time)
The Martian Chronicles	Ray Bradbury	read	Tue Mar 10 2020 20:28:28 GMT-0500 (Central Daylight Time)	Sat Mar 21 2020 14:37:00 GMT-0500 (Central Daylight Time)
Island	Aldous Huxley	read	Wed Feb 19 2020 08:33:11 GMT-0600 (Central Standard Time)	Mon Mar 09 2020 07:52:00 GMT-0500 (Central Daylight Time)
Fire the Bastards!	Jack Green	read	Mon Feb 17 2020 09:03:34 GMT-0600 (Central Standard Time)	Wed Feb 19 2020 08:31:47 GMT-0600 (Central Standard Time)
The Gulf War Did Not Take Place	Jean Baudrillard	read	Fri Feb 14 2020 06:31:46 GMT-0600 (Central Standard Time)	Sun Feb 16 2020 09:19:58 GMT-0600 (Central Standard Time)
Primeval and Other Times	Olga Tokarczuk	read	Tue Feb 04 2020 20:59:30 GMT-0600 (Central Standard Time)	Thu Feb 13 2020 06:28:06 GMT-0600 (Central Standard Time)
Who Fears Death (Who Fears Death, #1)	Nnedi Okorafor	read	Tue Jan 14 2020 06:48:22 GMT-0600 (Central Standard Time)	Tue Feb 04 2020 20:44:13 GMT-0600 (Central Standard Time)
The Third Policeman	TKTK	read	Wed Oct 10 2012 23:12:36 GMT-0500 (Central Daylight Time)	Thu Jan 30 2020 22:04:40 GMT-0600 (Central Standard Time)
The Waste Land and Other Writings	T.S. Eliot	read	Mon Jan 06 2020 11:23:53 GMT-0600 (Central Standard Time)	Tue Jan 28 2020 04:59:59 GMT-0600 (Central Standard Time)
The Recognitions	William Gaddis	read	Sun Sep 29 2019 15:07:12 GMT-0500 (Central Daylight Time)	Mon Jan 13 2020 07:25:22 GMT-0600 (Central Standard Time)
Eichmann in Jerusalem: A Report on the Banality of Evil	Hannah Arendt	read	Sun Nov 10 2019 10:39:28 GMT-0600 (Central Standard Time)	Mon Jan 06 2020 07:41:27 GMT-0600 (Central Standard Time)
The Glass Menagerie	Tennessee Williams	read	Thu Dec 26 2019 21:28:51 GMT-0600 (Central Standard Time)	Thu Dec 26 2019 22:49:06 GMT-0600 (Central Standard Time)
The Year of the Flood (MaddAddam, #2)	TKTK	read	Thu Nov 02 2017 17:55:02 GMT-0500 (Central Daylight Time)	Thu Oct 17 2019 07:09:01 GMT-0500 (Central Daylight Time)
The Ghost in the Shell Volume 1.5	Shirow Masamune	read	--	Mon Sep 23 2019 21:40:00 GMT-0500 (Central Daylight Time)
The Ghost in the Shell 1.5	TKTK	read	Sun Sep 22 2019 07:16:41 GMT-0500 (Central Daylight Time)	Mon Sep 23 2019 21:40:00 GMT-0500 (Central Daylight Time)
Gulliver's Travels	Jonathan Swift	read	Thu Sep 05 2019 00:47:00 GMT-0500 (Central Daylight Time)	Sun Sep 22 2019 07:06:55 GMT-0500 (Central Daylight Time)
Réparer les vivants	TKTK	read	Mon Jul 22 2019 22:22:03 GMT-0500 (Central Daylight Time)	Wed Sep 04 2019 11:01:31 GMT-0500 (Central Daylight Time)
Northlanders Book 2: The Icelandic Saga (Northlanders, Book 2)	Brian Wood	read	Wed Aug 07 2019 22:28:37 GMT-0500 (Central Daylight Time)	Wed Aug 07 2019 22:28:37 GMT-0500 (Central Daylight Time)
Billy Budd, Sailor	Herman Melville	read	Tue Jul 16 2019 21:15:00 GMT-0500 (Central Daylight Time)	Mon Jul 22 2019 20:40:10 GMT-0500 (Central Daylight Time)
Less	Andrew Sean Greer	read	Tue Jun 25 2019 21:23:12 GMT-0500 (Central Daylight Time)	Tue Jul 16 2019 20:09:58 GMT-0500 (Central Daylight Time)
Slouching Towards Bethlehem	Joan Didion	read	Mon Jun 10 2019 02:00:00 GMT-0500 (Central Daylight Time)	Tue Jun 25 2019 02:00:00 GMT-0500 (Central Daylight Time)
Under the Glacier	Halldór Laxness	read	Sun May 19 2019 18:01:29 GMT-0500 (Central Daylight Time)	Fri Jun 07 2019 17:07:28 GMT-0500 (Central Daylight Time)
Flights	Olga Tokarczuk	read	Fri Apr 26 2019 09:34:47 GMT-0500 (Central Daylight Time)	Sun May 19 2019 13:00:18 GMT-0500 (Central Daylight Time)
Fiasco	Stanisław Lem	read	Sun Apr 14 2019 14:05:42 GMT-0500 (Central Daylight Time)	Mon Apr 22 2019 08:59:24 GMT-0500 (Central Daylight Time)
Till We Have Faces	TKTK	read	Wed Feb 06 2019 08:27:32 GMT-0600 (Central Standard Time)	Sun Feb 24 2019 16:52:23 GMT-0600 (Central Standard Time)
Saga, Volume 9	TKTK	read	Sun Feb 03 2019 07:27:48 GMT-0600 (Central Standard Time)	Sun Feb 03 2019 08:10:34 GMT-0600 (Central Standard Time)
Saga, Volume 8	TKTK	read	Sat Feb 02 2019 23:12:41 GMT-0600 (Central Standard Time)	Sun Feb 03 2019 07:27:25 GMT-0600 (Central Standard Time)
Death of a Salesman	TKTK	read	Mon Jan 28 2019 02:00:00 GMT-0600 (Central Standard Time)	Sat Feb 02 2019 08:07:06 GMT-0600 (Central Standard Time)
